ID,53,Abs
Sim,Relative Faults,Abs Relative Faults
94.81,0.3740579710144928,0.3740579710144928
111.6,0.46842105263157885,0.46842105263157885
153.5,0.7848837209302325,0.7848837209302325
55.59,-0.7963736263736264,0.7963736263736264
129.8,-0.7178260869565217,0.7178260869565217
73.72,-0.7667088607594936,0.7667088607594936
61.02,-0.6137974683544303,0.6137974683544303
512.0,0.47126436781609193,0.47126436781609193
286.7,0.7167664670658682,0.7167664670658682
91.06,0.3008571428571429,0.3008571428571429
55.38,-0.13468749999999996,0.13468749999999996
41.83,0.2675757575757575,0.2675757575757575
22.54,-0.1651851851851852,0.1651851851851852
14.39,-0.7063265306122449,0.7063265306122449
239.1,2.919672131147541,2.919672131147541
214.0,-0.3395061728395062,0.3395061728395062
216.1,-0.2141818181818182,0.2141818181818182
266.3,-0.4631048387096774,0.4631048387096774
225.3,-0.4477941176470588,0.4477941176470588
336.1,-0.20731132075471692,0.20731132075471692
291.2,0.2133333333333333,0.2133333333333333
180.0,0.0975609756097561,0.0975609756097561
311.3,0.4683962264150944,0.4683962264150944
113.6,0.9254237288135593,0.9254237288135593
65.61,-0.1252,0.1252
53.44,-0.12393442622950823,0.12393442622950823
542.1,4.066355140186916,4.066355140186916
227.3,-0.4483009708737864,0.4483009708737864
318.4,-0.6140606060606061,0.6140606060606061
150.1,-0.3358407079646018,0.3358407079646018
603.3,-0.3676100628930818,0.3676100628930818
968.1,-0.1379341050756901,0.1379341050756901
330.3,0.5013636363636365,0.5013636363636365
191.9,1.2845238095238096,1.2845238095238096
197.6,0.6330578512396694,0.6330578512396694
125.7,1.4173076923076924,1.4173076923076924
60.78,-0.23063291139240505,0.23063291139240505
93.34,0.5054838709677419,0.5054838709677419
421.3,1.0352657004830919,1.0352657004830919
130.8,-0.6107142857142857,0.6107142857142857
148.8,-0.5843575418994413,0.5843575418994413
300.3,-0.27812499999999996,0.27812499999999996
165.9,-0.2247663551401869,0.2247663551401869
81.73,-0.027023809523809478,0.027023809523809478
99.02,0.7371929824561403,0.7371929824561403
36.72,-0.29384615384615387,0.29384615384615387
23.59,-0.2628125,0.2628125
15.22,0.08714285714285719,0.08714285714285719
9.741,-0.8012040816326531,0.8012040816326531
16.89,-0.6072093023255813,0.6072093023255813
311.4,2.3127659574468082,2.3127659574468082
187.3,-0.39967948717948715,0.39967948717948715
65.5,-0.6235632183908046,0.6235632183908046
54.42,-0.6577358490566038,0.6577358490566038
171.1,-0.12256410256410259,0.12256410256410259
416.6,0.05202020202020208,0.05202020202020208
114.5,-0.1124031007751938,0.1124031007751938
57.65,-0.17642857142857146,0.17642857142857146
45.66,-0.382972972972973,0.382972972972973
50.65,-0.20859375000000002,0.20859375000000002
